PolicyNet 
---------------------
Number of board positions: 19601313
Loss = Cross Entropy
Batch Size: 128

Epoch: 1
1996it [01:37, 20.41it/s] Loss:  4484.368860602379
1996it [01:50, 20.41it/s] Validation Loss: 3952.571044921875
3999it [04:50, 19.26it/s] Loss:  3797.2045860290527
3999it [05:10, 19.26it/s] Validation Loss: 3691.885009765625
5999it [08:03, 20.61it/s] Loss:  3619.5625153779984
5999it [08:20, 20.61it/s] Validation Loss: 3609.808837890625
7998it [11:29, 15.80it/s] Loss:  3526.759432077408
7998it [11:40, 15.80it/s] Validation Loss: 3527.765380859375
9997it [14:56, 19.97it/s] Loss:  3459.2694585323334
9997it [15:10, 19.97it/s] Validation Loss: 3402.34228515625
11999it [18:17, 25.54it/s] Loss:  3407.8396538496017
11999it [18:30, 25.54it/s] Validation Loss: 3388.199951171875
13999it [21:36, 15.36it/s] Loss:  3360.7469189167023
13999it [21:50, 15.36it/s] Validation Loss: 3359.90185546875
15998it [24:49, 15.13it/s] Loss:  3323.887818813324
15998it [25:00, 15.13it/s] Validation Loss: 3303.76611328125
17994it [28:02, 18.79it/s] Loss:  3306.512529850006
17994it [28:20, 18.79it/s] Validation Loss: 3294.553955078125
19998it [31:20, 16.51it/s] Loss:  3275.9917265176773
19998it [31:30, 16.51it/s] Validation Loss: 3234.47705078125
21997it [34:42, 19.23it/s] Loss:  3249.355185508728
21997it [35:00, 19.23it/s] Validation Loss: 3245.49267578125
23996it [38:03, 22.29it/s] Loss:  3238.7958859205246
23996it [38:20, 22.29it/s] Validation Loss: 3224.560791015625
25998it [41:21, 19.59it/s] Loss:  3220.8052282333374
25998it [41:40, 19.59it/s] Validation Loss: 3204.099853515625
27997it [44:50, 21.69it/s] Loss:  3204.2128024101257
27997it [45:10, 21.69it/s] Validation Loss: 3220.62841796875
29997it [48:21, 16.55it/s] Loss:  3191.683499455452
29997it [48:40, 16.55it/s] Validation Loss: 3187.440185546875
31999it [51:50, 19.47it/s] Loss:  3172.86787045002
